srno,mobmake,hubid,hubpincode,pickuppartnerid,deliverypartnerid,insuranceCompanyId,custpincodecategory,claimtype,custpincode,memcreateddate,mobilepurchasedate,claimintdate,servicecntrid,pickupStartdate,Prediction
3030307,AJ,27,110034,233,233,131,A,ADLD,110092,2017-11-16,2017-08-25,2018-03-28,4388,2018-03-31,15.782320687420762
3048314,AN,7,500004,233,233,131,A,ADLD,500011,2018-02-07,2017-04-25,2018-04-02,4403,2018-04-10,10.074349365950711
3060524,C,2,110018,233,233,228,A,ADLD,110029,2018-03-15,2018-02-08,2018-04-06,4094,2018-04-12,15.364346674494747
3064259,AN,21,110015,233,233,131,B,ADLD,124001,2017-05-05,2017-05-02,2018-04-07,4580,2018-04-17,9.77257296177888
3057867,C,2,110018,308,233,228,A,ADLD,110092,2018-03-18,2018-03-18,2018-04-05,4550,2018-04-16,10.533814549001598
2870652,AJ,3,560011,233,245,228,A,ADLD,560102,2017-07-11,2016-08-05,2018-02-14,4460,2018-02-15,10.65682626960951
2920134,AJ,3,560011,233,245,131,A,ADLD,560062,2017-03-28,2017-03-27,2018-02-27,4460,2018-03-01,11.367418858692185
2866111,AN,21,110015,233,233,131,A,ADLD,122002,2017-05-08,2017-05-05,2018-02-13,4580,2018-02-17,10.14819540894944
2908430,AJ,3,560011,233,233,131,B,ADLD,570029,2017-12-28,2017-12-28,2018-02-26,4460,2018-03-03,13.777575345818322
2920849,AN,22,400104,233,233,131,B,ADLD,462043,2017-06-08,2017-06-03,2018-02-27,4581,2018-03-03,15.812998714765506
2884266,AF,5,380009,233,245,131,A,ADLD,380008,2017-02-24,2017-02-22,2018-02-19,4039,2018-02-21,13.088953286278631
2819466,AN,4,600024,233,233,131,B,ADLD,636016,2017-05-06,2017-06-16,2018-01-30,4490,2018-02-03,12.32881692082839
2858437,AN,17,800001,233,233,131,A,ADLD,800001,2017-12-09,2017-09-23,2018-02-10,4538,2018-02-14,12.284655298915364
3050523,C,2,110018,308,233,131,A,ADLD,110027,2017-06-12,2017-05-31,2018-04-03,4550,2018-04-05,10.14648060321479
2876140,AN,22,400104,233,245,131,B,ADLD,385001,2017-09-18,2017-09-09,2018-02-16,4581,2018-02-20,14.132028067612188
2824732,AI,7,500004,233,233,131,A,ADLD,501505,2017-12-27,2017-12-27,2018-01-31,4474,2018-02-02,12.42235193292681
2839241,AF,17,800001,233,233,131,C,ADLD,824124,2017-02-20,2017-02-17,2018-02-05,4538,2018-02-08,14.385417978096239
2868409,AN,22,400104,233,233,131,A,ADLD,401101,2018-01-29,2018-01-27,2018-02-14,4581,2018-02-26,12.353681185839491
2907041,D,1,400059,233,233,131,A,ADLD,700029,2018-01-13,2017-11-14,2018-02-25,4511,2018-03-01,15.707180584703183
2844455,AN,7,500004,233,233,131,B,ADLD,517501,2016-06-15,2016-06-13,2018-02-06,4403,2018-02-14,14.122175075364218
2867312,C,1,400059,233,233,131,A,ADLD,400104,2018-01-18,2018-01-18,2018-02-13,4545,2018-02-18,13.643618638446352
2972765,AN,22,400104,0,233,131,D,ADLD,382022,2017-08-18,2017-08-17,2018-03-12,4581,2018-03-16,14.980027314807225
2983511,C,2,110018,233,233,131,A,ADLD,110037,2017-02-08,2017-02-03,2018-03-15,4550,2018-03-29,12.096868387326676
2857281,AN,3,560011,233,233,131,A,ADLD,560037,2017-03-22,2017-03-22,2018-02-09,4467,2018-02-13,11.837929634095275
3051964,AJ,23,400001,233,233,131,A,ADLD,400052,2018-03-27,2018-03-18,2018-04-03,4398,2018-04-07,10.789357091883652
2981162,AN,21,110015,233,233,131,A,ADLD,121004,2017-05-05,2017-05-03,2018-03-14,4580,2018-03-21,10.227860596579381
3014945,AN,26,560066,201,233,131,D,ADLD,630606,2017-12-28,2017-08-01,2018-03-24,5001,2018-03-27,14.880159670714928
2999197,AJ,27,110034,233,233,131,A,ADLD,110095,2017-06-19,2017-06-16,2018-03-19,4388,2018-04-01,13.806907499674733
2829017,AJ,7,500004,233,233,131,A,ADLD,500019,2017-04-25,2017-03-28,2018-02-01,4474,2018-02-08,12.171707111713527
2848996,AI,3,560011,233,233,131,A,ADLD,560026,2017-12-15,2017-12-15,2018-02-07,4460,2018-02-12,11.336419154202385
2870108,AN,22,400104,233,233,131,B,ADLD,395006,2017-03-14,2017-03-09,2018-02-14,4581,2018-02-16,14.552520588247146
2859591,AJ,2,110018,233,233,131,A,ADLD,122017,2017-12-22,2017-07-13,2018-02-10,4388,2018-02-15,16.26784389987892
2861847,AJ,3,560011,233,233,228,A,ADLD,560093,2018-01-19,2017-07-09,2018-02-12,4460,2018-02-20,10.379013601660208
2880678,AJ,2,110018,233,233,228,A,ADLD,122017,2018-01-12,2017-02-23,2018-02-17,4388,2018-02-21,15.395412478348508
2872297,AN,22,400104,233,233,131,C,ADLD,442605,2017-06-08,2017-06-07,2018-02-15,4581,2018-02-18,14.74993489735671
2930663,AN,21,110015,233,233,131,C,ADLD,141115,2017-06-28,2017-04-14,2018-03-02,4580,2018-03-06,11.970787240427311
2936017,AJ,23,400001,233,233,131,A,ADLD,411023,2017-04-13,2017-04-13,2018-03-03,4398,2018-03-09,12.659938364148674
2940545,S,3,560011,233,233,228,A,ADLD,560049,2018-01-16,2017-03-29,2018-03-05,4465,2018-03-07,11.940696267315834
2887249,AE,9,411016,233,233,228,B,ADLD,414001,2017-08-22,2017-08-03,2018-02-19,4023,2018-03-07,14.80525748112667
2978501,AM,2,110018,308,233,228,A,ADLD,122003,2018-02-25,2017-04-08,2018-03-14,4092,2018-03-15,17.283930236871857
3013507,Y,5,380009,201,233,131,D,ADLD,382750,2018-03-07,2018-02-07,2018-03-24,4039,2018-03-31,16.963673106400403
3035976,AJ,6,160059,233,233,228,B,ADLD,160047,2017-07-01,2017-06-14,2018-03-29,4437,2018-03-31,11.931697620622662
3057218,AN,26,560066,233,233,131,B,ADLD,603002,2017-06-19,2017-06-16,2018-04-05,5001,2018-04-07,11.452534765012706
3086262,AJ,23,400001,233,233,228,A,ADLD,400093,2017-11-24,2017-01-18,2018-04-15,4398,2018-04-16,10.048043999823932
3078906,AN,22,400104,233,233,131,A,ADLD,401208,2017-07-13,2017-07-10,2018-04-12,4581,2018-04-19,10.118568197884008
2822707,AN,21,110015,233,245,131,A,ADLD,110007,2017-10-23,2017-10-18,2018-01-31,4580,2018-02-09,10.057240874350539
2874119,AJ,3,560011,233,245,228,B,ADLD,590010,2018-01-13,2017-03-31,2018-02-15,4460,2018-02-21,12.510415475058693
2879096,AN,11,641012,201,201,131,D,ADLD,691005,2017-11-30,2017-11-24,2018-02-16,4495,2018-02-20,15.147628802235372
3041893,AE,2,110018,233,233,228,C,ADLD,335001,2017-05-04,2016-11-20,2018-03-31,4093,2018-04-04,14.451837218898884
3085048,AN,26,560066,233,233,228,A,ADLD,560098,2017-06-09,2016-10-05,2018-04-14,5001,2018-04-16,9.195753509719484
2833586,AN,21,110015,201,233,131,0,ADLD,331802,2017-04-06,2017-04-03,2018-02-03,4580,2018-02-21,16.019253434680174
3029632,AJ,27,110034,233,233,131,B,ADLD,136027,2017-11-07,2017-09-19,2018-03-28,4388,2018-04-07,14.946142487654832
2953931,AN,8,700064,233,233,131,A,ADLD,700006,2017-12-14,2017-10-17,2018-03-08,4508,2018-03-10,12.196550217777004
2946014,AN,4,600024,233,233,131,A,ADLD,600069,2017-10-25,2017-10-14,2018-03-06,4490,2018-03-08,11.162968174249686
3011371,AJ,23,400001,308,233,131,A,ADLD,400070,2017-03-29,2017-03-28,2018-03-23,4398,2018-04-11,11.106097643486455
3084072,AN,21,110015,233,233,131,A,ADLD,110068,2017-04-17,2017-04-14,2018-04-14,4580,2018-04-17,7.9725963968416504
2896365,AN,8,700064,233,233,228,A,ADLD,700046,2018-01-15,2017-08-12,2018-02-22,4508,2018-02-23,10.69553592184252
3021704,C,12,302006,233,233,131,B,ADLD,342001,2017-11-23,2017-11-17,2018-03-26,4453,2018-03-29,16.305995368196204
2904158,AN,7,500004,233,233,131,A,ADLD,500008,2017-10-06,2017-09-30,2018-02-24,4403,2018-02-27,12.312681767611604
3035437,C,2,110018,233,233,228,B,EW,125001,2017-01-27,2017-01-12,2018-03-29,4091,2018-04-07,20.456162811534988
2870227,AN,2,110018,233,233,131,A,ADLD,110085,2017-11-26,2017-11-24,2018-02-14,4147,2018-02-21,16.71739569679834
3013338,AJ,27,110034,308,233,228,A,ADLD,122001,2017-06-04,2017-06-04,2018-03-24,4388,2018-03-27,16.482594981952598
2848947,AN,21,110015,233,233,131,B,ADLD,131001,2017-05-13,2017-05-05,2018-02-07,4580,2018-02-12,11.039359400826147
2846763,AJ,2,110018,233,233,228,A,ADLD,121006,2017-08-25,2017-08-19,2018-02-06,4388,2018-02-14,19.172393843068953
2883269,AN,2,110018,233,233,228,A,ADLD,110096,2018-01-02,2017-09-26,2018-02-18,4147,2018-02-23,20.036565521084214
2843740,C,12,302006,233,233,228,B,ADLD,334001,2017-10-16,2017-07-13,2018-02-06,4453,2018-02-19,14.868840921540306
2904312,AA,12,302006,233,233,228,A,ADLD,302026,2018-02-08,2017-02-01,2018-02-24,4459,2018-02-26,12.711640839617731
2924654,Y,4,600024,233,233,131,A,ADLD,600078,2017-12-17,2017-12-07,2018-02-28,4490,2018-03-09,11.162968174249686
2938914,AJ,2,110018,233,233,228,A,ADLD,201001,2018-02-12,2017-08-08,2018-03-04,4388,2018-03-11,14.806408488792393
2822482,AF,1,400059,233,233,131,A,ADLD,400705,2017-02-18,2017-02-15,2018-01-31,4581,2018-03-06,13.869177896437412
2943376,AN,22,400104,233,233,131,A,ADLD,400607,2016-05-19,2016-05-18,2018-03-05,4581,2018-03-09,12.400855515071209
2979916,AN,21,110015,233,233,131,C,ADLD,143105,2018-02-01,2018-02-01,2018-03-14,4580,2018-03-19,12.158693976297444
3041172,AN,21,110015,308,233,131,A,ADLD,110051,2017-10-02,2017-10-02,2018-03-31,4580,2018-04-04,8.189980888661118
3049892,AJ,27,110034,233,233,131,A,ADLD,110060,2017-06-16,2017-06-15,2018-04-03,4388,2018-04-05,12.342042607365764
3034718,AJ,25,560037,233,233,131,A,ADLD,600030,2018-01-17,2017-01-16,2018-03-29,4460,2018-04-01,9.899527343537667
3054515,AJ,25,560037,233,233,131,A,ADLD,600092,2017-05-04,2017-05-02,2018-04-04,4460,2018-04-09,8.990687748883689
3011372,C,9,411016,233,233,228,A,ADLD,411028,2017-06-11,2015-08-14,2018-03-23,4548,2018-03-31,11.441945197631803
2931879,Y,5,380009,233,245,131,B,ADLD,360001,2017-12-08,2017-04-08,2018-03-03,4039,2018-03-24,15.973194292377237
3061051,AJ,25,560037,308,245,131,A,ADLD,560048,2017-04-21,2017-04-21,2018-04-06,4460,2018-04-11,8.47567460540521
2838851,AN,21,110015,233,233,131,A,ADLD,110063,2017-08-14,2017-08-09,2018-02-04,4580,2018-02-06,9.96109262549021
2883744,AN,21,110015,233,233,131,C,ADLD,143505,2018-01-10,2017-05-03,2018-02-18,4580,2018-02-21,11.250378275280283
3003851,AN,2,110018,308,245,228,A,ADLD,110017,2018-02-28,2017-09-07,2018-03-21,4580,2018-03-23,10.800380015973515
2865482,AJ,8,700064,233,233,131,A,ADLD,700156,2018-02-09,2018-02-07,2018-02-13,4499,2018-02-16,12.025455354384913
2949800,AN,7,500004,233,233,131,A,ADLD,500079,2017-05-19,2017-05-17,2018-03-07,4403,2018-03-17,12.278138722382858
2909787,AM,2,110018,233,233,228,A,ADLD,110043,2017-08-09,2017-02-22,2018-02-26,4092,2018-02-27,16.636646413823463
2854751,AN,21,110015,233,233,131,A,ADLD,110049,2017-07-06,2017-07-05,2018-02-09,4580,2018-02-12,9.96109262549021
2849456,AI,3,560011,233,233,131,A,ADLD,560050,2018-01-05,2018-01-05,2018-02-07,4460,2018-02-16,11.206910607414615
2932154,AI,23,400001,233,233,131,A,ADLD,380022,2018-01-11,2018-01-11,2018-03-03,4398,2018-03-07,13.454961497919637
2932154,AI,23,400001,233,0,131,A,ADLD,380022,2018-01-11,2018-01-11,2018-03-03,4398,2018-03-07,14.094316791962427
2985584,AI,23,400001,201,233,131,0,ADLD,453111,2018-02-26,2018-02-26,2018-03-15,4398,2018-03-24,18.275123981228205
2854160,AN,21,110015,233,233,131,A,ADLD,110084,2017-12-02,2017-11-28,2018-02-09,4580,2018-02-12,9.774181627243209
2987955,C,12,302006,233,233,131,B,ADLD,342001,2017-10-13,2016-06-16,2018-03-16,4453,2018-03-20,16.305995368196204
3007421,AJ,23,400001,233,233,131,A,ADLD,411038,2017-05-02,2017-05-02,2018-03-22,4398,2018-03-24,12.659938364148674
3053312,AI,6,160059,233,233,131,C,ADLD,143001,2017-10-11,2017-10-10,2018-04-04,4437,2018-04-15,12.287952065825724
2934361,AJ,12,302006,233,233,228,B,ADLD,313001,2018-01-29,2017-11-29,2018-03-03,4407,2018-03-05,15.085877572013702
2979407,AN,22,400104,233,233,131,B,ADLD,361140,2017-10-09,2017-10-06,2018-03-14,4581,2018-03-29,15.580515667681054
3001378,C,4,600024,233,233,228,A,ADLD,600019,2018-02-28,2018-02-13,2018-03-20,4483,2018-03-29,11.3048348803471
3025387,AJ,6,160059,233,233,228,C,ADLD,141001,2018-01-04,2017-07-20,2018-03-27,4437,2018-03-31,13.286884344646742
2856532,AF,1,400059,233,233,131,B,ADLD,452001,2017-02-12,2017-02-09,2018-02-09,4581,2018-02-13,15.870974313797214
3030131,AN,7,500004,233,233,228,A,ADLD,500072,2018-03-04,2017-07-08,2018-03-28,4403,2018-03-30,11.654327641440103
2821171,C,2,110018,233,233,228,A,ADLD,122015,2017-12-18,2017-10-18,2018-01-30,4094,2018-02-01,16.77685673259544
2849313,AN,3,560011,233,233,228,A,ADLD,560076,2018-01-09,2017-12-13,2018-02-07,4467,2018-02-12,11.257782164929683
2838919,AI,8,700064,201,233,131,D,ADLD,711113,2018-01-27,2018-01-27,2018-02-04,4499,2018-02-11,15.75994260182539
2839783,AN,21,110015,233,233,131,C,ADLD,152123,2017-08-30,2017-08-10,2018-02-05,4580,2018-02-12,11.18061265975172
2839783,AN,21,110015,233,233,131,C,ADLD,152123,2017-08-30,2017-08-10,2018-02-05,4580,2018-02-12,11.18061265975172
2855601,AN,17,800001,233,233,131,C,ADLD,834001,2017-10-11,2017-10-06,2018-02-09,4538,2018-02-14,14.782434257242775
2868202,AN,3,560011,233,233,131,B,ADLD,580032,2018-01-12,2018-01-11,2018-02-14,4467,2018-02-19,13.955318116686849
2835214,C,12,302006,233,233,131,A,ADLD,302013,2017-08-10,2017-06-25,2018-02-03,4407,2018-02-16,12.88934130036338
2892610,C,2,110018,233,233,131,A,ADLD,122016,2017-09-12,2016-11-28,2018-02-21,4091,2018-02-24,17.29342926510818
2906296,AN,4,600024,233,233,131,A,ADLD,600096,2017-05-06,2017-05-05,2018-02-25,4490,2018-03-03,10.947225891013403
2884859,AN,21,110015,201,233,131,0,ADLD,335524,2018-01-10,2017-09-22,2018-02-19,4668,2018-03-07,16.980281828207495
3003578,C,2,110018,308,233,228,A,ADLD,110046,2018-03-01,2017-03-25,2018-03-21,4091,2018-03-27,16.995270717821906
3036158,AN,21,110015,233,233,131,A,ADLD,201301,2017-06-16,2017-06-14,2018-03-29,4580,2018-04-01,9.438344201097886
3007060,AJ,23,400001,233,233,131,A,ADLD,400058,2017-05-04,2017-05-04,2018-03-22,4398,2018-04-02,10.711078121721258
2995265,C,3,560011,233,233,228,A,ADLD,560004,2018-03-11,2018-03-11,2018-03-19,4469,2018-03-28,11.705666289978797
3048957,AJ,27,110034,233,233,228,A,ADLD,201009,2017-12-16,2017-07-11,2018-04-03,4388,2018-04-05,12.33925816977777
3064024,AJ,6,160059,233,233,131,B,ADLD,160036,2017-12-16,2017-12-16,2018-04-07,4437,2018-04-10,10.932765341801645
3038673,C,1,400059,233,233,131,A,ADLD,400710,2017-11-27,2017-11-17,2018-03-30,4010,2018-04-11,15.952322971331146
3054305,AN,22,400104,233,233,131,A,ADLD,400080,2017-04-13,2017-04-12,2018-04-04,4581,2018-04-09,10.118568197884008
3056252,AJ,27,110034,233,233,228,A,ADLD,110029,2017-05-09,2017-04-11,2018-04-05,4388,2018-04-17,12.24520816971976
2876909,C,2,110018,233,245,131,A,ADLD,110096,2017-09-06,2017-06-20,2018-02-16,4094,2018-02-20,20.71151196520617
2862113,AN,26,560066,233,245,131,A,ADLD,560040,2016-07-28,2016-07-27,2018-02-12,5001,2018-03-16,10.653301875469026
2876160,C,2,110018,233,233,228,A,ADLD,121007,2017-12-27,2017-09-04,2018-02-16,4388,2018-02-21,19.2560967026093
3006324,AJ,6,160059,233,233,131,A,ADLD,160071,2018-01-02,2018-01-02,2018-03-22,4437,2018-03-24,12.49047467500748
2835363,AN,7,500004,233,233,131,A,ADLD,500089,2017-02-24,2017-02-22,2018-02-03,4403,2018-02-14,12.126728154205919
3037453,AN,22,400104,233,233,131,C,ADLD,415409,2017-08-24,2017-08-22,2018-03-30,4581,2018-04-03,13.080733458385868
2987148,AA,3,560011,233,245,131,A,ADLD,560032,2017-10-04,2017-10-04,2018-03-16,4400,2018-03-17,11.87770050514975
2910212,AN,21,110015,233,233,131,B,ADLD,125050,2017-08-09,2017-02-03,2018-02-26,4580,2018-03-03,12.280619042435069
3050106,AN,22,400104,233,233,131,B,ADLD,440008,2017-06-30,2016-12-02,2018-04-03,4581,2018-04-13,12.978449658126795
2855771,C,7,500004,233,233,131,A,ADLD,500035,2017-10-18,2017-10-17,2018-02-09,4477,2018-02-22,12.42235193292681
3003544,AN,21,110015,233,233,131,A,ADLD,302020,2017-10-17,2017-10-11,2018-03-21,4580,2018-03-26,12.004857498915845
2861488,AB,1,400059,233,233,131,A,ADLD,110081,2017-10-24,2017-10-18,2018-02-11,4390,2018-03-05,14.263909491512045
3065821,AN,21,110015,233,233,131,A,ADLD,122001,2017-09-19,2017-09-12,2018-04-08,4580,2018-04-15,8.30842566616529
2835502,AN,21,110015,233,233,131,A,ADLD,110041,2017-09-05,2017-05-30,2018-02-03,4580,2018-02-08,9.96109262549021
2869153,AN,22,400104,233,233,131,B,ADLD,395017,2017-04-13,2017-03-02,2018-02-14,4581,2018-02-19,14.487829380439548
2886326,AJ,3,560011,233,233,131,A,ADLD,560076,2017-12-29,2017-12-29,2018-02-19,4460,2018-02-21,11.336419154202385
2882267,G,1,400059,233,233,131,A,ADLD,560106,2018-01-11,2017-06-02,2018-02-17,4011,2018-02-21,18.71440474178255
2883958,AJ,9,411016,233,233,131,A,ADLD,411011,2017-09-04,2017-08-30,2018-02-18,4021,2018-02-21,11.89080312141091
2852611,AJ,1,400059,233,233,131,A,ADLD,400602,2017-06-28,2017-06-28,2018-02-08,4398,2018-02-26,13.668719905683039
2836058,F,1,400059,233,233,131,A,ADLD,400710,2017-09-25,2017-09-17,2018-02-03,4011,2018-02-19,17.77565376553432
2870588,AM,1,400059,233,233,131,B,ADLD,422101,2017-05-26,2017-05-26,2018-02-14,4018,2018-02-24,18.672702924874063
2943441,AN,17,800001,233,233,131,A,ADLD,800004,2017-06-15,2017-06-13,2018-03-05,4538,2018-03-09,11.827589337322918
2949640,C,4,600024,233,233,131,B,ADLD,636005,2017-03-20,2017-03-18,2018-03-07,4492,2018-03-10,13.320101768705314
2951215,AN,21,110015,233,233,228,B,ADLD,282003,2018-01-22,2017-12-10,2018-03-07,4580,2018-03-17,13.659864920126067
3004630,AN,21,110015,308,233,131,A,ADLD,110035,2017-08-18,2017-08-17,2018-03-21,4580,2018-03-28,10.508245139879996
2973024,AN,7,500004,233,233,131,B,ADLD,533003,2017-03-27,2017-03-24,2018-03-12,4403,2018-03-26,15.199292232614129
3011239,AN,21,110015,233,233,228,A,ADLD,122015,2017-07-06,2017-07-06,2018-03-23,4580,2018-03-30,10.08397489523617
3000598,AN,21,110015,233,233,228,A,ADLD,201010,2018-03-03,2016-10-06,2018-03-20,4154,2018-03-24,14.844565663822378
3030507,AN,17,800001,201,233,131,D,ADLD,803215,2017-05-16,2017-05-13,2018-03-28,4538,2018-03-31,16.230569684641434
3009461,AJ,27,110034,233,233,228,A,ADLD,302016,2017-06-02,2017-05-29,2018-03-23,4388,2018-04-01,12.998977961261964
3057192,AJ,27,110034,233,233,131,A,ADLD,110092,2018-01-15,2017-04-30,2018-04-05,4388,2018-04-11,13.261877430484443
3074344,AJ,25,560037,233,245,228,A,ADLD,560091,2018-04-03,2018-03-31,2018-04-11,4460,2018-04-16,8.890834476747496
3017312,AJ,6,160059,233,233,131,B,ADLD,148001,2017-03-28,2017-03-23,2018-03-25,4437,2018-03-30,12.7912882690981
2860280,AJ,2,110018,233,233,228,A,ADLD,121001,2017-08-06,2017-05-20,2018-02-10,4388,2018-02-17,19.106103676393715
2832836,AJ,4,600024,0,233,131,A,ADLD,600116,2017-05-14,2017-05-14,2018-02-02,4482,2018-02-04,10.668780319788045
2887534,AJ,6,160059,233,233,131,B,ADLD,160025,2018-01-31,2018-01-21,2018-02-19,4437,2018-02-28,12.119454077599384
2979628,H,1,400059,233,233,131,A,ADLD,110015,2018-02-23,2017-11-15,2018-03-14,4011,2018-03-18,17.142575567314825
2879480,AN,3,560011,233,233,131,A,ADLD,560029,2016-11-22,2016-11-01,2018-02-17,4147,2018-02-20,13.47974618584548
2948011,AJ,12,302006,233,233,228,A,ADLD,302004,2017-09-17,2017-07-29,2018-03-06,4407,2018-03-17,12.27695147745807
2851199,AN,3,560011,233,233,131,A,ADLD,560037,2017-03-30,2017-03-30,2018-02-08,4467,2018-02-10,11.837929634095275
2985709,AM,2,110018,233,233,228,B,ADLD,209801,2017-06-16,2017-06-16,2018-03-15,4092,2018-03-18,15.972826765803049
2823550,AN,8,700064,233,233,131,B,ADLD,713148,2017-12-27,2016-10-21,2018-01-31,4508,2018-02-04,12.893494088373961
2839869,AN,7,500004,233,233,131,A,ADLD,500056,2017-03-22,2017-03-21,2018-02-05,4403,2018-02-10,12.126728154205919
2845484,AN,21,110015,233,233,228,A,ADLD,201305,2018-01-15,2017-03-15,2018-02-06,4580,2018-02-07,10.532844111822712
2908320,AD,2,110018,233,233,228,A,ADLD,110007,2017-08-06,2016-07-04,2018-02-26,4148,2018-02-28,16.707442171267996
2873112,J,2,110018,201,233,228,D,ADLD,388360,2017-08-01,2017-03-31,2018-02-15,4154,2018-02-19,16.702894805734328
2904883,C,2,110018,233,233,131,A,ADLD,201304,2017-10-03,2017-09-29,2018-02-24,4094,2018-02-27,16.626647262915455
2945258,AJ,2,110018,233,233,131,A,ADLD,110053,2017-09-08,2017-09-01,2018-03-06,4388,2018-03-13,15.906921761261952
2967014,AJ,2,110018,233,233,228,A,ADLD,110009,2018-02-16,2018-02-06,2018-03-10,4388,2018-03-12,15.903796759569584
2950522,AN,22,400104,233,233,131,A,ADLD,380052,2017-09-12,2017-09-11,2018-03-07,4581,2018-03-09,12.92617618702394
3000380,AN,21,110015,233,233,131,C,ADLD,144411,2017-05-20,2017-05-15,2018-03-20,4580,2018-03-22,11.970787240427311
2962723,AJ,2,110018,233,233,131,A,ADLD,110092,2017-04-28,2017-04-24,2018-03-10,4388,2018-03-22,16.35636359502835
2962723,AJ,2,110018,0,233,131,A,ADLD,110092,2017-04-28,2017-04-24,2018-03-10,4388,2018-03-22,17.539016967305688
2981246,AN,21,110015,233,233,131,A,ADLD,302029,2017-12-15,2017-12-13,2018-03-14,4580,2018-03-23,12.004857498915845
2995195,AN,26,560066,233,233,131,A,ADLD,641025,2016-05-28,2016-05-01,2018-03-19,4495,2018-03-23,10.795242310413009
2973748,C,11,641012,201,0,131,A,ADLD,641025,2017-04-13,2017-04-12,2018-03-13,4492,2018-03-22,13.05036770633113
3000612,C,3,560011,233,233,131,B,ADLD,590011,2018-02-27,2018-01-22,2018-03-20,4461,2018-03-23,15.59481605876907
2995876,AN,17,800001,201,233,131,D,ADLD,815351,2017-10-07,2017-10-05,2018-03-19,4410,2018-04-04,13.667595918991141
3081263,AN,22,400104,233,233,131,A,ADLD,400607,2017-07-22,2018-04-23,2018-04-13,4581,2018-04-18,10.118568197884008
3072387,AJ,25,560037,308,233,228,A,ADLD,560022,2018-02-18,2017-12-15,2018-04-10,4460,2018-04-18,8.275762801672927
2893036,C,3,560011,233,245,228,A,ADLD,560048,2017-11-15,2017-11-12,2018-02-21,4469,2018-02-24,11.461435829762452
2889463,AN,3,560011,233,233,131,A,ADLD,560023,2017-09-27,2017-09-27,2018-02-20,4467,2018-02-23,11.892337689669144
2949420,AJ,2,110018,233,233,228,A,ADLD,110048,2017-08-17,2018-01-11,2018-03-07,4388,2018-03-14,15.50038589129384
3047285,AN,26,560066,233,233,131,C,ADLD,635001,2017-12-22,2017-12-14,2018-04-02,5001,2018-04-06,11.83048769908875
2851719,AN,22,400104,233,233,131,B,ADLD,395003,2017-03-06,2017-03-02,2018-02-08,4581,2018-02-15,14.552520588247146
3050820,C,5,380009,233,233,131,B,ADLD,390001,2017-11-27,2017-11-27,2018-04-03,4546,2018-04-14,13.14849880646248
2831087,C,1,400059,233,233,131,A,ADLD,401101,2017-11-02,2017-11-02,2018-02-02,4545,2018-02-06,13.811116796315648
3025646,AN,22,400104,233,233,131,A,ADLD,421204,2017-04-10,2017-04-09,2018-03-27,4581,2018-04-01,10.586818256524406
2970923,AN,26,560066,201,201,131,0,ADLD,686693,2017-09-28,2016-09-28,2018-03-12,4495,2018-03-18,16.566673468825517
3011431,AN,21,110015,233,233,131,B,ADLD,132103,2018-02-22,2017-12-14,2018-03-23,4580,2018-03-26,11.889150781588372
